Comments Text,Feelings Text,Emotions Text,Context Text,Feelings Value,Emotions Value,Context Value
"*Virat and Anushka's future kid*\n\nAnushka: Mamma bolo beta, mammaaaa\n\nKid: Mm.. Ma.. Maa.. Madarchod!",Negative,Abusive,Socialist,1,1,5
@dasraghubar @narendramodi @AmitShah @BJP4India @BJPLive @BJP4Jharkhand Madarchod brahmno se mafi mango,Negative,Abusive,Racist,1,1,2
@LmRajpt @imjadeja @RoflGandhi_ Suwar ke bache ..madar chod..Teri maa ki chut me..ghungru bajaunga madarchod...bhar\xe2\x80\xa6 https://t.co/bFTERvXNoQ,Negative,Abusive,Sexual,1,1,4
@HornyGlF Fuck off! Chal bhag yahan se madarchod,Negative,Abusive,Socialist,1,1,5
@LogicalGabbar @imjadeja Teri maa ko our Ben ko chudva sale benchod .... madarchod....Gabbar,Negative,Abusive,Sexual,1,1,4
I have to say this madarchod @Twitter @TwitterIndia i created multiple accounts and you locked all accounts &amp,Negative,Abusive,Socialist,1,1,5
@I_Daredevil @ElahiHiba Ya bakrichod jyada ni uchal rhe h bhosdi vale madarchod\nBawasir c shakal ki h ye\nAnd bhokti\xe2\x80\xa6 https://t.co/zcYFxTLXe5,Negative,Abusive,Sexual,1,1,4
@ShankhNaad @SmokingSkills_ @PetaIndia @ChouhanShivraj @PetaIndia kidhar chupe hai re madarchod peta wale gandu log.?,Negative,Abusive,Socialist,1,1,5
@KRKActor1 tu waha kya kar raha ha madarchod. bahan k lode kaha comarision kar raha ha . tu kaha 1 No ka madarchod\xe2\x80\xa6 https://t.co/m7nBRT1yUR,Negative,Abusive,Socialist,1,1,5
@matchmyvibe_ madarchod maar dalo,Negative,Abusive,Socialist,1,1,5
@jeevanblog1 Isme embarassing kya hai bey madarchod? Ahmedabad commissioner has not given permission to hold a rall\xe2\x80\xa6 https://t.co/G8Vw51FXUA,Negative,Abusive,Socialist,1,1,5
@NANGI_POOJA Madarchod musalman aaiysha aur wo hai,Negative,Abusive,Racist,1,1,2
@LmRajpt @imjadeja @RoflGandhi_ Madarchod Randi ke bache ..gali kisko de rha hai...gand phar dunga bharve....bhosrike aukat me reh....,Negative,Abusive,Sexual,1,1,4
Bollywoodians are madarchod ye to kai saalon se bata raha hoon main tum logon ko. https://t.co/2tFNvDDe25,Negative,Abusive,Socialist,1,1,5
@ElCrankoPunko cranko madarchod you unfollowed me tu dekh ab kya karta hun main,Negative,Abusive,Socialist,1,1,5
@M_walim @ICC @imVkohli @AnushkaSharma Teri ammi ko chodne wala insaan hai ye icc kya pure world isko badhai dekha bc hat mulle madarchod,Negative,Abusive,Racist,1,1,2
@OfficeOfRG Rafel Deal Rafel Deal Rafel Deal... Tum madarchod Congressio ke raj mai fighter deal kyu nahi hue?? Chu\xe2\x80\xa6 https://t.co/PjvpGURUuz,Negative,Abusive,Critic,1,1,1
"@SaniyaChatterje Saniya, must say you are most madarchod randi on twitter...cum ki pyassi...abtak na jane loundo ne\xe2\x80\xa6 https://t.co/0iFjBqmb3W",Negative,Abusive,Sexual,1,1,4
"@girishalva @garuna73 I never donate to any madarchod hindu priests, they are chors.",Negative,Abusive,Racist,1,1,2
@ManishTewari you madarchod in @incindia screwed Air India and still have audacity to question Government. Kya khate ho aur kya sochte ho \xe2\x80\xa6 https://t.co/2RRcR2QQCd,Negative,Abusive,Critic,1,1,1
Is madarchod Sajid Khan ko Jayvijay se kya problem h . Khud ko to kuch aata ni uski performance ko bekar bolta h..\xe2\x80\xa6 https://t.co/dJxNCXHsyh,Negative,Abusive,Critic,1,1,1
@sanjivbhatt teri maaa ko kuttey se chudwaya tera suwar baaap tab jakar tu madarchod paida huwa...randi ka aulaaad madarchod,Negative,Abusive,Sexual,1,1,4
@Manan_13 @Nirmalogy @BhokalTweet Ambani supporter Madarchod mar ja,Negative,Abusive,Socialist,1,1,5
@vinodkapri @HoeZaay @sakshijoshii @ravikantmittal @ajitanjum Bhadva madarchod Bhakt ....,Negative,Abusive,Socialist,1,1,5
@updatingwait @Acutereply Ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai Madarch\xe2\x80\xa6 https://t.co/aRTpVwrqw6,Negative,Abusive,Sexist,1,1,3
"@Shujaatsays Teri Ammi k sath first inning Virat khela tha, tb tu paida hua, aur tera abbu Abhi us result ka gum mana rha h madarchod \xf0\x9f\xa4\xa3",Negative,Abusive,Sexual,1,1,4
@pbhushan1 @sanjaymanjrekar Oh the madarchod liberal manjrekar retweeted. Bhadwa congress ka dalal.,Negative,Abusive,Critic,1,1,1
@PiranhaBlowjob Madarchod jalta hai mujhse ?,Negative,Abusive,Socialist,1,1,5
"@shailu_CA modi madarchod hai Na, maa ko khara' kar diya note ki line 96 yr old maa. Modi is harami chutiya PM",Negative,Abusive,Critic,1,1,1
@free_thinker teri ammi free ki raandi thi madarchod tu free ka thinker paida huwa..free mey hi randi devil ko chod\xe2\x80\xa6 https://t.co/5S9CPSLXQK,Negative,Abusive,Sexual,1,1,4
Kutte jite nahi madarchod dusro ko bhi nahi Jeene deti,Negative,Abusive,Socialist,1,1,5
@LmRajpt @imjadeja Teri maa ka bhosra ..bharve ki aulad ...madarchod...aukat me rahe ..nahi gand phar dunga ..bharve,Negative,Abusive,Socialist,1,1,5
@BhaiyyaSexy @SatyaSibaSabat1 @taran_adarsh abe madarchod bhagode multi starrer ese to daava me b Naseer ka equal r\xe2\x80\xa6 https://t.co/IDVhjy72V3,Negative,Abusive,Socialist,1,1,5
RT @niralsoni: Madarchod kya chahta hai https://t.co/9fLcKJ4fxI,Negative,Abusive,Socialist,1,1,5
@ShankhNaad @PetaIndia @ChouhanShivraj Kis madarchod ki he giri hui harkt,Negative,Abusive,Socialist,1,1,5
@BuddhadevMurum1 @ColorsTV Madarchod shilpa randi rona band kar,Negative,Abusive,Socialist,1,1,5
"@Shujaatsays Madarchod , bhenchod bsdk bhikhari Jihadi Porkistani \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81 aab theek",Negative,Abusive,Racist,1,1,2
@rssurjewala Abe chup chutye ye to congress bhi kar sakti thi madarchod ahmedabad me aake marunga apna kam kar,Negative,Abusive,Socialist,1,1,5
@RavishKumar_ @shuklapinku @rajnathsingh @BSF_India Bhag madarchod,Negative,Abusive,Socialist,1,1,5
Bhak Machod Mullo Ke Abbu @bewak_sanki543 @milkygaay @Dilli_Ka_Maalik @ArvindKrejriwal @ashu3page @AamAadmiParty\xe2\x80\xa6 https://t.co/K1pRnRhz0V,Negative,Abusive,Racist,1,1,2
